,????????,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,Unnamed: 7
0,???????????(?),0.93,1.26,0.61,0.46,--,--,
1,???????(?),--,3.14,2.18,1.82,2.4,3.66,
2,????????????????????????(?),--,1.48,0.98,0.77,0.56,1.16,
3,??????????(???),67748,65435.0,51184.0,48853.0,42008,36413,
4,??????????(???),20502,20741.0,14262.0,12027.0,10451,9704,
5,??????(???),5842,7876.0,3560.0,2591.0,3109,2248,
6,???????(???),167,-106.0,-73.0,102.0,489,83,
7,???????????(???),1782,896.0,748.0,590.0,621,367,
8,???????(???),7623,8772.0,4308.0,3181.0,3730,2615,
9,??????(???),6053,7558.0,3632.0,2785.0,3293,2337,
10,??????(???????????????)(???),4412,6904.0,3087.0,2720.0,1986,2006,
11,??????????????????????(???),9854,8866.0,5890.0,4601.0,2222,2310,
12,???????????????(???),7637,-713.0,4576.0,-996.0,-375,502,
13,?????(???),80845,47165.0,39247.0,35563.0,32371,23601,
14,???????(???),60700,27891.0,20484.0,19785.0,21301,15726,
15,????(???),22443,28201.0,25974.0,24636.0,22673,16334,
16,???????(???),21421,25615.0,20464.0,19804.0,18392,16210,
17,?????治????????????(???),58329,18846.0,13057.0,10912.0,9598,7267,
18,?????????????(%),21.06,48.8,31.64,28.95,54.76,32.27,
