2018-12-02_code,2018-12-02_days
AAXN,4
ABR,1
ABUS,2
AJRD,1
AMBC,1
ANGO,3
ATO,0
AUDC,1
AWR,0
BANR,4
BSCI,3
BSX,0
BURL,1
BVX,0
CASY,0
CCEP,0
CCOI,3
CHD,0
CTB,1
CTS,3
CVRS,0
DORM,1
DPZ,3
DSGX,3
ECYT,1
EHTH,1
EPM,2
EPR,1
ETSY,3
EXPO,4
FCE.A,1
FCOM,0
FCPT,1
FE,3
FRPT,1
FSB,2
FTAI,2
GLDD,0
GLUU,3
GOF,3
HELE,0
HLIT,0
HRTX,3
KIN,1
KSS,1
KW,3
KWR,0
LBRDA,0
LBRDK,0
LIQT,0
LULU,3
LYV,0
MNRO,1
MOS,0
MTBC,2
NDAQ,4
NGVC,1
P,3
PER,2
PFN,4
PTC,3
REXR,3
RGEN,0
RNG,4
S,0
SHEN,0
SMP,1
SONC,0
SPG,1
SRPT,3
SWX,2
SYY,3
TCS,3
TGNA,0
UAMY,0
UAN,1
UBNT,3
VCRA,0
VICR,4
WEX,3
WIX,3
XAN,1
ZTS,0
