2018-12-02_code,2018-12-02_days,2018-12-23_code,2018-12-23_days,2018-12-31_code,2018-12-31_days
AAT,1.0,AAT,4,ATNI,4.0
ACAD,4.0,ATNI,3,CLX,3.0
ATNI,0.0,BXMT,4,CMF,2.0
BDSI,2.0,CHEF,3,CWT,4.0
BXMT,1.0,CLX,1,IEF,2.0
CHEF,0.0,CMF,0,IEI,2.0
COLB,0.0,COLB,3,ITE,2.0
CREE,0.0,CREE,3,ITM,2.0
CYOU,0.0,CWT,2,KMB,3.0
DORM,0.0,CYOU,3,SAND,2.0
EHTH,0.0,DORM,3,SCHR,2.0
FCE.A,0.0,EHTH,3,SUB,0.0
FRED,4.0,FCE.A,3,UST,2.0
GGG,0.0,GGG,3,VGIT,2.0
GIL,1.0,GIL,4,,
HCCI,0.0,HCCI,3,,
HCP,1.0,HCP,4,,
HE,0.0,HE,3,,
IBN,0.0,IBN,3,,
LOPE,4.0,IEF,0,,
O,0.0,IEI,0,,
OMCL,0.0,ITE,0,,
PETX,1.0,ITM,0,,
PIR,3.0,KMB,1,,
PKG,0.0,O,3,,
WABC,0.0,OMCL,3,,
WELL,0.0,PETX,4,,
,,PKG,3,,
,,SAND,0,,
,,SCHR,0,,
,,UST,0,,
,,VGIT,0,,
,,WABC,3,,
,,WELL,3,,
